0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,2,5,1,1,2,0,4,1,3,3,1,1,6,4,1,136343642.84171075,0.0,91270662.77972321,0.0009452269036184403,78247463.63258468,0.0,22674612.19534176,0.0,116141404.60247886,0.0,236500000.0,285.6649404607496
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,6,5,0,7,1,3,1,5,0,1,3,6,5,1,163770928.24047652,0.0,146337100.17799887,0.006259365750546787,79591223.60465036,0.0,28113151.592071198,0.001776018588350083,121375143.46488896,0.0,115300000.0,823.1301584813448
0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,3,7,5,3,6,4,4,0,7,2,0,5,2,4,4,0,199716683.5766434,0.0,205988505.91332737,0.0,73806796.74073476,0.0018449615877417773,26244195.76548925,0.00029709152016311525,71555540.28476302,0.0,267200000.0,731.0541976675833
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,7,5,6,2,2,9,1,0,3,0,6,0,1,7,0,227292860.5414936,0.0,194602312.67965376,0.0008038177797881105,74108306.38130745,0.013996020293023654,19075769.0547565,0.0008882328200150824,70740857.80294001,0.0,236500000.0,688.9859007195607
0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,7,3,0,0,1,0,1,6,1,0,0,1,6,7,121644599.3504275,0.0,82227389.50425103,0.011259593145040155,66324069.76791851,0.00650392830483919,6320800.309666242,0.0,122599016.390075,0.0,928200000.0,1090.151157086242
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,3,1,1,1,3,0,2,3,6,4,7,100714900.1874114,0.0,135697573.99719474,0.032223686196495176,106086684.6222601,0.05312437689726553,24430060.616990667,0.0028948052257551566,142947562.0063744,0.0,84600000.0,0.0
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,5,6,5,0,1,0,2,5,4,0,0,3,0,5,2,203903855.00021702,0.0,56856790.05313933,0.013152684459160107,86372519.99283671,0.0,30751634.456529785,0.008450384165692985,104524087.96154885,0.023976372290587387,309900000.0,0.0
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,5,0,2,1,5,1,2,3,4,0,1,0,0,1,4,98043050.03325048,0.0,152607593.60621026,0.004393437738241326,79281364.67205806,0.0,13151091.519431224,0.002681596226444232,109764174.51494467,0.034259814608989816,438700000.0,0.0
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,3,4,3,0,2,3,6,4,7,71223146.50296113,0.0,95156464.66080266,0.03702870412539105,84016058.9050726,0.0,25501094.4667778,0.0032794192595384415,142947562.0063744,0.0,333100000.0,0.0
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5,1,6,6,6,2,2,5,4,0,0,0,0,0,0,166927546.49260283,0.0,210924252.16788617,0.0,86372519.99283671,0.0,19683110.992971078,0.007544794875146753,53730507.402574256,0.036456082544427865,182600000.0,0.0
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,1,1,2,0,2,3,0,3,7,47847947.961454235,0.0,114779307.05223736,0.017387127084852187,73285251.00718631,0.011266965149211902,27836713.153184958,0.004276171649874837,104376158.17588276,0.017063794282212868,199900000.0,0.0
0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3,5,3,4,0,0,3,2,5,2,0,2,0,2,2,3,166604617.59284723,0.0,73507530.69721344,0.0021937628837882706,81013849.68203819,0.0,8772233.824087054,6.296818865401979e-05,91791006.21883239,0.0,357700000.0,1123.7749699754227
1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,3,0,1,3,7,0,4,60717312.84309486,0.0,73906150.51015544,0.05216138125455656,84696731.15977037,0.0,24320390.15542089,0.003329910572530298,86420965.59927613,0.0,199900000.0,0.0
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,0,1,1,0,6,4,7,0,5,0,104000676.5449382,0.0,74489586.25301021,0.052977301524742344,52557870.71270383,0.015234509315593704,44404044.1980267,0.0,36676675.840294495,0.0,339000000.0,0.0
0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,7,6,0,0,3,0,0,1,6,0,0,0,0,0,6,144956226.29360634,0.0,65461841.71145989,0.004495524288177949,78061971.11539194,0.01221288689990446,7994419.770878758,0.001102262162472898,79177589.3448651,0.009502805586794161,625800000.0,1861.8529959567034
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,3,3,5,0,0,7,0,3,0,1,6,2,86007194.43194778,0.009628669575638384,173439234.54989848,0.0,83495562.20000555,0.06645344470503833,13911910.29779395,0.0020149908841267366,118070245.86988123,0.01133279669887727,286800000.0,0.0
1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,3,0,0,0,0,0,2,32694901.094161935,0.0,72478083.06648526,0.017387127084852187,81536880.21317536,0.048689890689015705,15327361.317067357,0.005805324786343341,167809972.1677268,0.0954364683150646,371400000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,3,0,0,1,6,3,1,7,0,1,3,7,7,0,96223098.04916811,0.0,162128214.6476578,0.0047372228768526965,85794511.8959807,0.0,16479268.190241214,6.394492112804984e-05,100105457.62015328,0.0,256100000.00000003,2341.2915477891133
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,7,5,3,7,5,0,4,7,0,7,2,0,2,103875385.90784359,0.019257339151276767,211930437.70194978,0.0,60031921.43603267,0.0,32304948.475029543,0.0,57073405.013273194,0.0,273100000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5,2,3,0,1,7,1,0,0,1,5,2,106379885.47452152,0.009628669575638384,170590329.1761617,0.0,128374687.38674633,0.09835156339644534,10697229.88152253,0.0017639414260822014,96705227.21019611,0.0,121200000.0,0.0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,4,3,0,0,0,6,6,0,7,3,0,0,0,3,167798331.6592725,0.0,127343142.70371297,0.032308393608129975,69810785.89520885,0.0,24956580.074387155,0.0,54771986.68440938,0.0059433702987987495,217800000.0,3089.7580416089704
