0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,1,4,0,2,0,3,5,3,0,0,0,0,0,0,125145187.56891409,0.0,62823960.56802164,0.014328833818530855,87711202.18356964,0.0,11235519.289732058,0.004414722941211522,61152430.25029912,0.041409624435429226,151900000.0,0.0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,7,5,1,0,0,3,0,7,4,0,0,0,0,2,0,185354345.85630804,0.0,78884920.9830987,0.008000990803463176,75247665.48581485,0.0036630867806959986,5457854.592587568,0.0007743915352169272,65400315.08315994,0.00928349273213856,286800000.0,1743.565589645495
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,4,7,0,0,0,3,1,0,0,2,0,2,121644599.3504275,0.0,137220471.0599543,0.0,157510711.29317784,0.17986764398824567,10918069.427476842,0.0019093154885196865,57073405.013273194,0.0,0.0,0.0
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,0,0,3,0,95213987.28559849,0.0,97050515.92746389,0.03478256587685771,51859771.89311242,0.06984115354472903,2337202.3603916317,0.0008389648578625841,30351526.042379983,0.0,327000000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,1,1,1,0,0,0,0,0,0,0,0,3,243545162.70711505,0.012979314436682458,123549430.84750968,0.00041877024315652595,110856733.77938175,0.017789203092297406,3679411.6673558904,0.0001625122529379692,30351526.042379983,0.0,121200000.0,6169.65523921324
1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,4,0,0,0,2,0,0,0,3,0,0,3,0,95213987.28559849,0.0,45718242.31784124,0.03215562474993381,22167818.198803753,0.0,11995690.430091783,0.0013416556387938561,50431498.131101385,0.013585726445431847,351800000.0,0.0
0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,7,1,0,0,1,0,6,0,7,0,0,0,0,139382316.28490794,0.0,60631576.69835041,0.01604892226704485,62863233.085597515,0.01356625181475343,17830135.251312967,0.0013284907511980884,4297015.2783424575,0.002897184056647307,442300000.0,0.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,1,3,0,0,7,0,0,0,0,0,0,0,2,135461254.40506652,0.007864962404908077,49810115.16422239,0.0014580287352612409,34221561.73832255,0.0,12940535.859243004,0.00516279463816946,74937202.83447021,0.03209687474169809,121200000.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,5,0,1,0,0,1,3,1,91038948.22424166,0.0011797443607362117,97554993.50776674,0.010370168679434315,90646928.25297317,0.01236269941318525,6320800.309666242,0.0,85064701.79229271,0.0,0.0,5026.867254720555
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,6,4,0,0,0,0,5,0,0,0,1,0,0,7,156022371.27999088,0.0,46321877.89795314,0.004949969097971798,51588816.80418736,0.004555623319512277,11556283.596093599,0.00029369950841829344,71780428.31210794,0.002793824908119341,236500000.0,3424.992954372902
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,309434939.2050195,0.16224143045853073,89740689.09772763,0.008557519784963961,151774883.98274404,0.17539354098352364,18752682.03760893,0.0020880277488916008,25037214.086173728,0.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,6,3,0,0,0,0,0,0,7,0,0,0,3,0,163599977.4048533,0.0009437954885889693,74199583.69925602,0.006325951214847388,94997462.26443094,0.015163959440978838,14261651.781499248,0.0,30351526.042379983,0.0,121200000.0,6411.394034524994
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,6,0,6,3,1,0,0,253592265.10531533,0.013923109925271427,45729100.21061707,0.0038604971089163435,46668074.93529615,0.0024497040088019605,28823100.986459374,0.0002505633298669921,25037214.086173728,0.0,30700000.0,4948.957545868148
